Date,Open,High,Low,Close,Volume,Change
2020-02-03,55500,57400,55200,57200,23995260,0.014184397163120588
2020-02-04,57100,59000,56800,58900,21800192,0.029720279720279796
2020-02-05,60000,60200,58900,59500,19278165,0.01018675721561979
2020-02-06,60100,61100,59700,61100,14727159,0.026890756302520913
2020-02-07,61100,61200,59700,60400,16402493,-0.011456628477905073
2020-02-10,59200,59800,59100,59700,13107121,-0.011589403973509937
2020-02-11,59800,60700,59700,59900,11071231,0.003350083752093891
2020-02-12,60300,60700,59700,60500,12904207,0.01001669449081799
2020-02-13,61200,61600,60500,60700,18449775,0.0033057851239668423
2020-02-14,60900,61900,60200,61800,13276067,0.01812191103789118
2020-02-17,61600,62000,61200,61500,8740596,-0.004854368932038833
2020-02-18,60800,60900,59700,59800,16674266,-0.027642276422764178
2020-02-19,59800,60400,59400,60200,12951496,0.006688963210702337
2020-02-20,60700,61300,59600,60000,14591924,-0.0033222591362126463
2020-02-21,58800,59800,58500,59200,13777393,-0.013333333333333308
2020-02-24,57400,58100,56800,56800,25627537,-0.04054054054054057
2020-02-25,56200,58000,56200,57900,23885408,0.01936619718309851
2020-02-26,56000,57000,56000,56500,25483102,-0.024179620034542326
2020-02-27,56300,56900,55500,55900,23209541,-0.010619469026548645
2020-02-28,55000,55500,54200,54200,30054227,-0.030411449016100156
2020-03-02,54300,55500,53600,55000,30403412,0.014760147601476037
2020-03-03,56700,56900,55100,55400,30330295,0.0072727272727273196
2020-03-04,54800,57600,54600,57400,24765728,0.036101083032491044
2020-03-05,57600,58000,56700,57800,21698990,0.006968641114982521
2020-03-06,56500,57200,56200,56500,18716656,-0.02249134948096887
2020-03-09,54700,55000,53600,54200,30261485,-0.04070796460176995
2020-03-10,53800,54900,53700,54600,32106554,0.007380073800737907
2020-03-11,54300,54400,52000,52100,45707281,-0.045787545787545736
2020-03-12,51000,51900,49300,50800,48149999,-0.0249520153550864
2020-03-13,47450,51600,46850,49950,59462933,-0.0167322834645669
2020-03-16,50100,50900,48800,48900,33339821,-0.02102102102102099
2020-03-17,46900,49650,46700,47300,51218151,-0.03271983640081799
2020-03-18,47750,48350,45600,45600,40152623,-0.03594080338266381
2020-03-19,46400,46650,42300,42950,56925513,-0.058114035087719285
2020-03-20,44150,45500,43550,45400,49730008,0.057043073341094264
2020-03-23,42600,43550,42400,42500,41701626,-0.06387665198237891
2020-03-24,43850,46950,43050,46950,49801908,0.1047058823529412
2020-03-25,48950,49600,47150,48650,52735922,0.03620873269435565
2020-03-26,49000,49300,47700,47800,42185129,-0.0174717368961973
2020-03-27,49600,49700,46850,48300,39896178,0.010460251046025215
2020-03-30,47050,48350,46550,47850,26797395,-0.009316770186335366
2020-03-31,48000,48500,47150,47750,30654261,-0.002089864158829724
2020-04-01,47450,47900,45800,45800,27259532,-0.0408376963350785
2020-04-02,46200,46850,45350,46800,21621076,0.02183406113537112
2020-04-03,47400,47600,46550,47000,22784682,0.004273504273504258
2020-04-06,47500,48800,47250,48700,23395726,0.036170212765957555
2020-04-07,49650,50200,49000,49600,31524034,0.01848049281314168
2020-04-08,49600,49750,48600,48600,25010314,-0.020161290322580627
2020-04-09,49750,49800,48700,49100,22628058,0.010288065843621297
2020-04-10,48950,49250,48650,49250,17839111,0.003054989816700715
2020-04-13,48650,48900,48300,48300,14431800,-0.019289340101522834
2020-04-14,48800,49200,48300,49000,14206216,0.01449275362318847
2020-04-16,49350,49350,48550,49000,23349760,0.0
2020-04-17,50800,52000,50300,51400,32041675,0.048979591836734615
2020-04-20,51400,51400,50000,50100,21866354,-0.02529182879377434
2020-04-21,49400,49700,48700,49250,27407543,-0.01696606786427146
2020-04-22,48700,50000,48350,49850,18613864,0.012182741116751217
2020-04-23,50200,50300,49500,49850,18754442,0.0
2020-04-24,49650,49750,49000,49350,15618347,-0.010030090270812475
2020-04-27,49350,50000,49100,49850,14049471,0.010131712259371817
2020-04-28,49850,50100,49300,50100,16095399,0.005015045135406293
2020-04-29,49900,50500,49600,50000,15604533,-0.001996007984031989
2020-05-04,48900,49100,48500,48500,26083749,-0.030000000000000027
2020-05-06,49000,49200,48500,49200,18070225,0.014432989690721598
2020-05-07,49200,49300,48700,48800,13884411,-0.008130081300813052
2020-05-08,49100,49350,48800,48800,15319700,0.0
2020-05-11,48900,49250,48300,48400,16357743,-0.008196721311475419
2020-05-12,48400,48500,47550,47900,23433590,-0.010330578512396715
2020-05-13,47250,48550,47200,48550,20223277,0.013569937369519725
2020-05-14,47750,48100,47650,48000,19305974,-0.011328527291452062
2020-05-15,48400,48450,47700,47850,18463118,-0.0031250000000000444
2020-05-18,47950,49100,47600,48800,20481981,0.01985370950888199
2020-05-19,50100,50500,49700,50300,25168295,0.03073770491803285
2020-05-20,50000,50200,49800,50000,14896899,-0.005964214711729587
2020-05-21,50300,50400,49850,49950,14949266,-0.0010000000000000009
2020-05-22,49600,49800,48600,48750,19706284,-0.024024024024024038
2020-05-25,48750,48900,48450,48850,14337913,0.002051282051282133
2020-05-26,48700,49450,48600,49250,15127490,0.008188331627430934
2020-05-27,48950,50000,48800,49900,19548479,0.013197969543147225
2020-05-28,51100,51200,49900,50400,31309318,0.01002004008016022
2020-05-29,50000,50700,49700,50700,27596961,0.005952380952380931
2020-06-01,50800,51200,50600,51200,16949183,0.009861932938856066
2020-06-02,51000,51500,50800,51400,14247933,0.00390625
2020-06-03,51800,55000,51700,54500,49257814,0.060311284046692615
2020-06-04,55800,57000,54600,54600,40220334,0.0018348623853210455
2020-06-05,54400,55900,54000,55500,22743629,0.016483516483516425
2020-06-08,56400,56500,54700,54900,25634965,-0.010810810810810811
2020-06-09,55800,56500,54400,55500,23998831,0.010928961748633892
2020-06-10,55100,55900,54900,55400,16742493,-0.0018018018018017834
2020-06-11,54500,55100,53200,54300,33815123,-0.019855595667869985
2020-06-12,52100,52800,51500,52300,26976019,-0.036832412523020275
2020-06-15,51400,52000,49900,49900,28772921,-0.04588910133843216
2020-06-16,51200,52100,50600,52100,21808375,0.044088176352705455
2020-06-17,52100,52900,51300,52200,26672595,0.0019193857965451588
2020-06-18,52200,52300,51600,52300,15982926,0.0019157088122605526
2020-06-19,52600,52900,51600,52900,18157985,0.011472275334607929
2020-06-22,52000,52600,51800,52000,13801350,-0.017013232514177745
2020-06-23,52500,52800,51100,51400,18086152,-0.011538461538461497
2020-06-24,51900,53900,51600,52900,24519552,0.029182879377431803
2020-06-25,52100,53000,51900,51900,18541624,-0.018903591682419618
2020-06-26,52800,53900,52200,53300,21575360,0.026974951830443183
2020-06-29,52500,53200,52000,52400,17776925,-0.016885553470919357
2020-06-30,53900,53900,52800,52800,21157172,0.007633587786259444
2020-07-01,53400,53600,52400,52600,16706143,-0.0037878787878787845
2020-07-02,52100,52900,52100,52900,14142583,0.005703422053231932
2020-07-03,53000,53600,52700,53600,11887868,0.013232514177693666
2020-07-06,54000,55000,53800,55000,19856623,0.026119402985074647
2020-07-07,55800,55900,53400,53400,30760032,-0.029090909090909056
2020-07-08,53600,53900,52900,53000,19664652,-0.0074906367041198685
2020-07-09,53200,53600,52800,52800,17054850,-0.0037735849056603765
2020-07-10,53100,53200,52300,52700,13714746,-0.0018939393939394478
2020-07-13,53300,53800,53100,53400,12240188,0.013282732447817747
2020-07-14,53700,53800,53200,53800,14269484,0.0074906367041198685
2020-07-15,54400,55000,54300,54700,24051450,0.016728624535315983
2020-07-16,54800,54800,53800,53800,16779127,-0.01645338208409508
2020-07-17,54200,54700,54100,54400,10096174,0.011152416356877248
2020-07-20,54800,54800,54000,54200,10507530,-0.003676470588235281
2020-07-21,55200,55400,54800,55300,18297260,0.02029520295202958
2020-07-22,55300,55500,54700,54700,12885057,-0.010849909584086825
2020-07-23,54700,54700,53800,54100,16214932,-0.010968921389396757
2020-07-24,54000,54400,53700,54200,10994535,0.001848428835489857
2020-07-27,54300,55700,54300,55600,21054421,0.02583025830258312
2020-07-28,57000,58800,56400,58600,48431566,0.05395683453237421
2020-07-29,60300,60400,58600,59000,36476611,0.006825938566553003
2020-07-30,59700,60100,59000,59000,19285354,0.0
2020-07-31,59500,59600,57700,57900,21943345,-0.01864406779661021
2020-08-03,57800,57900,56700,56800,21158940,-0.01899827288428324
2020-08-04,57200,58100,57000,57300,19419694,0.008802816901408494
2020-08-05,57300,57500,56300,56900,17739706,-0.006980802792321161
2020-08-06,57100,58400,57100,58000,21625874,0.019332161687170446
2020-08-07,57900,58400,57100,57500,18751717,-0.008620689655172376
2020-08-10,57600,58300,57500,57800,17774291,0.00521739130434784
2020-08-11,58000,59500,57800,58200,24907912,0.006920415224913601
2020-08-12,58200,59000,57700,59000,18573934,0.013745704467353903
2020-08-13,59400,59600,58000,58700,22089460,-0.005084745762711895
2020-08-14,58000,58400,57700,58000,15672548,-0.011925042589437829
2020-08-18,58900,59900,58000,58400,25307825,0.006896551724137945
2020-08-19,59000,59200,57800,57800,16930719,-0.010273972602739767
2020-08-20,57600,57600,55300,55400,30386029,-0.04152249134948094
2020-08-21,56200,56900,55800,55900,21142288,0.00902527075812265
2020-08-24,55800,56600,55400,56100,15055896,0.003577817531305927
2020-08-25,56400,56800,56100,56400,14021705,0.005347593582887722
2020-08-26,56400,56500,55700,56400,17651593,0.0
2020-08-27,56300,56300,55600,55600,16196568,-0.014184397163120588
2020-08-28,56100,56300,55400,55400,14619888,-0.003597122302158251
2020-08-31,56000,56100,54000,54000,32671367,-0.02527075812274371
2020-09-01,54100,54800,54100,54200,19363117,0.0037037037037037646
2020-09-02,54600,55100,54100,54400,16905723,0.0036900369003689537
2020-09-03,55600,56700,55500,56400,28384920,0.03676470588235303
2020-09-04,55200,55800,55100,55600,22139109,-0.014184397163120588
2020-09-07,56100,57300,55800,56500,18685880,0.01618705035971213
2020-09-08,57400,58700,57200,58700,31517520,0.038938053097345104
2020-09-09,58200,59300,57800,58400,30597399,-0.005110732538330498
2020-09-10,59900,60000,59100,59200,29923293,0.013698630136986356
2020-09-11,59300,59400,58200,59000,16017098,-0.0033783783783783994
2020-09-14,60200,60800,59900,60400,20648281,0.023728813559322104
2020-09-15,60900,61000,60500,61000,17877075,0.009933774834437026
2020-09-16,61100,61300,60600,61000,17041444,0.0
2020-09-17,60700,60800,59300,59500,25108356,-0.024590163934426257
2020-09-18,59800,59900,59100,59300,18884571,-0.003361344537815114
2020-09-21,59100,60000,59000,59200,15140387,-0.001686340640809414
2020-09-22,59100,59700,57800,58200,20830381,-0.016891891891891886
2020-09-23,58400,58800,57400,58600,20111398,0.0068728522336769515
2020-09-24,57700,58600,57600,57800,17564020,-0.013651877133105783
2020-09-25,57700,58200,57700,57900,11444683,0.0017301038062282892
2020-09-28,58300,58800,57900,58200,12614080,0.005181347150259086
2020-09-29,58300,59000,58200,58200,15503563,0.0
2020-10-05,57500,59200,57500,58700,20228289,0.00859106529209619
2020-10-06,59400,59900,58700,59000,14463826,0.005110732538330387
2020-10-07,58700,59900,58500,59900,14861838,0.015254237288135686
2020-10-08,60500,60700,59500,59700,24589924,-0.0033388981636059967
2020-10-12,60000,60400,59900,60400,16145837,0.011725293132328396
2020-10-13,61000,61400,60400,60900,19247631,0.008278145695364225
2020-10-14,61000,61100,60500,60900,16086716,0.0
2020-10-15,60700,60800,59700,60000,17756232,-0.014778325123152691
2020-10-16,60000,60400,59000,59500,16554190,-0.008333333333333304
2020-10-19,59600,60200,59500,60000,14474985,0.008403361344537785
2020-10-20,60300,60900,60100,60900,19326115,0.014999999999999902
2020-10-21,61200,61500,60600,60900,15703443,0.0
2020-10-22,60300,60500,59800,60100,14294095,-0.013136288998357948
2020-10-23,60400,60400,59800,60200,9322232,0.0016638935108153063
2020-10-26,60400,61100,60100,60400,13268226,0.0033222591362125353
2020-10-27,60300,60300,59500,59800,17260416,-0.009933774834437137
2020-10-28,59400,59400,58800,59000,14428882,-0.013377926421404673
2020-10-29,58200,58500,57500,58100,22636966,-0.015254237288135575
2020-10-30,58000,58000,56600,56600,26907844,-0.025817555938037917
2020-11-02,56400,57500,56000,57400,20489076,0.014134275618374659
2020-11-03,57900,58900,57600,58800,14950919,0.024390243902439046
2020-11-04,58900,59000,57800,58500,21718561,-0.005102040816326481
2020-11-05,59000,60300,58800,60300,20639475,0.03076923076923066
2020-11-06,60700,60800,59600,60100,16910230,-0.0033167495854062867
2020-11-09,60700,60900,60100,60200,15892961,0.0016638935108153063
2020-11-10,60500,60500,59500,60200,19073552,0.0
2020-11-11,60700,61400,60400,61300,25628510,0.0182724252491695
2020-11-12,61000,61400,60700,61000,19800573,-0.004893964110929905
2020-11-13,61300,63200,61000,63200,31508829,0.0360655737704918
2020-11-16,64000,66700,63900,66300,36354334,0.049050632911392444
2020-11-17,67000,67000,65600,65700,30204089,-0.009049773755656076
2020-11-18,65700,66200,64700,64800,22963790,-0.013698630136986356
2020-11-19,64100,64800,63900,64600,16590290,-0.0030864197530864335
2020-11-20,63900,65200,63900,64700,15068682,0.001547987616099089
2020-11-23,64800,67800,64700,67500,27134398,0.043276661514683123
2020-11-24,67900,69500,67000,67700,32158235,0.002962962962963056
2020-11-25,67900,68300,66500,66600,32447065,-0.01624815361890697
2020-11-26,66100,68000,66000,68000,19023323,0.021021021021021102
2020-11-27,68000,68400,67600,68200,14063434,0.002941176470588225
2020-11-30,68400,68600,66700,66700,43811016,-0.021994134897360684
2020-12-01,67100,68300,67100,67800,22327173,0.016491754122938573
2020-12-02,68400,69900,68300,69500,29703942,0.025073746312684442
2020-12-03,70100,70500,69300,69700,23677989,0.0028776978417266452
2020-12-04,70400,72100,70100,71500,28130533,0.02582496413199431
2020-12-07,72400,73500,71900,72900,28490496,0.019580419580419672
2020-12-08,72200,72900,71600,71700,25000338,-0.016460905349794275
2020-12-09,72100,73900,72000,73900,24077996,0.030683403068340276
2020-12-10,72700,73800,72500,72900,39882928,-0.013531799729364025
2020-12-11,73500,73800,73100,73400,18486672,0.006858710562414272
2020-12-14,73600,74500,73200,73800,21510415,0.005449591280654031
2020-12-15,73800,74100,73300,73800,20863671,0.0
2020-12-16,74100,74500,73400,73800,17512081,0.0
2020-12-17,73400,73700,72600,73300,24293214,-0.006775067750677488
2020-12-18,73300,73700,73000,73000,17613029,-0.004092769440654842
2020-12-21,73100,73400,72000,73000,20367355,0.0
2020-12-22,72500,73200,72100,72300,16304910,-0.009589041095890427
2020-12-23,72400,74000,72300,73900,19411326,0.022130013831258566
2020-12-24,74100,78800,74000,77800,32502870,0.05277401894451961
2020-12-28,79000,80100,78200,78700,40085044,0.011568123393316254
2020-12-29,78800,78900,77300,78300,30339449,-0.0050825921219822545
2020-12-30,77400,81300,77300,81000,29417421,0.034482758620689724
2021-01-04,81000,84400,80200,83000,38655276,0.024691358024691468
2021-01-05,81600,83900,81600,83900,35335669,0.010843373493975905
2021-01-06,83300,84500,82100,82200,42089013,-0.020262216924910592
2021-01-07,82800,84200,82700,82900,32644642,0.008515815085158085
2021-01-08,83300,90000,83000,88800,59013307,0.07117008443908324
2021-01-11,90000,96800,89500,91000,90306177,0.024774774774774855
2021-01-12,90300,91400,87800,90600,48682416,-0.00439560439560438
2021-01-13,89800,91200,89100,89700,36068848,-0.009933774834437137
2021-01-14,88700,90000,88700,89700,26393970,0.0
2021-01-15,89800,91800,88000,88000,33431809,-0.018952062430323324
2021-01-18,86600,87300,84100,85000,43227951,-0.03409090909090906
2021-01-19,84500,88000,83600,87000,39895044,0.0235294117647058
2021-01-20,89000,89000,86500,87200,25211127,0.0022988505747125743
2021-01-21,87500,88600,86500,88100,25318011,0.010321100917431103
2021-01-22,89000,89700,86800,86800,30861661,-0.014755959137343955
2021-01-25,87000,89900,86300,89400,27258534,0.02995391705069128
2021-01-26,88800,89200,86500,86700,33178936,-0.030201342281879207
2021-01-27,86600,87700,85600,85600,26423070,-0.012687427912341454
2021-01-28,83200,85600,83200,83700,31859808,-0.02219626168224298
2021-01-29,84500,85000,82000,82000,39615978,-0.020310633213859064
2021-02-01,81700,83400,81000,83000,28046832,0.012195121951219523
2021-02-02,84100,86400,83700,84400,26302077,0.01686746987951815
